"region","sector_j","sector_name","fd_dom_hh","fd_dom_gov","fd_dom_id","fd_dom_idg","fd_xbr_hh","fd_xbr_gov","fd_xbr_id","fd_xbr_idg","d_new","d_old"
"Z1",36,"Construction",1.71412729461898,0.245764738761046,0,23.1159504695234,0,0,0,0,25.0758425029034,25.0758425029034
"Z1",37,"Construction Re-processing",0.0014647817522656,0.000378457505182975,0,0.0278883003289671,0,0,0,0,0.0297315395864156,0.0297315395864156
"Z1",38,"Vehicle Sale, Maintenance,  Repair",7.93315942438593,0.159951570781049,0,0.157472843025214,0,0,0,0,8.2505838381922,8.2505838381922
"Z1",39,"Vehicle Fuel Sale",0.494146918351361,0.0121028609396993,0,0.0609569540065975,0,0,0,0,0.567206733297658,0.567206733297658
"Z1",40,"Retail, Wholesale Trade",8.34456202476662,2.00204209782465,0,1.26523450054124,0,0,0,0,11.6118386231325,11.6118386231325
"Z1",41,"Leisure",33.4760265658327,5.90413736587937,0,0.348180357773797,0,0,0,0,39.7283442894859,39.7283442894859
"Z1",42,"Transport",20.1838117128193,8.00505294578993,0,0.293225632892864,0,0,0,0,28.4820902915021,28.4820902915021
"Z1",43,"Professional Services",27.7744712073397,2.08869447392382,0,5.5466626700367,0,0,0,0,35.4098283513003,35.4098283513003
"Z1",44,"Real Estate",46.3964327584555,2.50602443393748,0,0.95152315220768,0,0,0,0,49.8539803446006,49.8539803446006
"Z1",45,"Machine, Equipment Renting",0.909927791985028,0.0886327025055329,0,0.099856972843021,0,0,0,0,1.09841746733358,1.09841746733358
"Z1",46,"R&D",0.820751556800508,3.36497219198023,0,0.0287768717817631,0,0,0,0,4.2145006205625,4.2145006205625
"Z1",47,"Public Administration, Defence",1.95708705598294,81.7462133281289,0,0.151409788740783,0,0,0,0,83.8547101728526,83.8547101728526
"Z1",48,"Education",5.42721659645702,46.2239375139144,0,0.0132558733806594,0,0,0,0,51.6644099837521,51.6644099837521
"Z1",49,"Health, Social Work",15.3721277443555,67.8465949671677,0,0.0294061309945856,0,0,0,0,83.2481288425178,83.2481288425178
"Z1",50,"Waste Incineration",1.13076510444664,0.168127817716703,0,0.00618703651874015,0,0,0,0,1.30507995868208,1.30507995868208
"Z1",51,"Biogas, Composting",0.387824749919794,0.136998855056622,0,0.00363735978449901,0,0,0,0,0.528460964760915,0.528460964760915
"Z1",52,"Waste Water",0.212203953922246,0.0789267712133433,0,0.00206209732557896,0,0,0,0,0.293192822461168,0.293192822461168
"Z1",53,"Waste Landfill",0.376925155551783,0.214937496254068,0,0.00581208382734695,0,0,0,0,0.597674735633198,0.597674735633198
"Z1",54,"Other Services",13.2330707069527,0.392824758551455,0,0.0107515885072946,0,0,0,0,13.6366470540114,13.6366470540114
"Z2",1,"Agriculture",28.0427928012624,1.10898032881442,0,0.621039806243626,0,0,0,0,29.7728129363205,29.7728129363205
"Z2",2,"Animal Farming",8.22094017916016,0.811672833614006,0,1.87425415050913,0,0,0,0,10.9068671632833,10.9068671632833
"Z2",3,"Forestry, Logging",1.75025301441332,0.0267902097107651,0,0.155057190080494,0,0,0,0,1.93210041420457,1.93210041420457
"Z2",4,"Fishing",2.37463518096662,0.0117171608739225,0,0.0620315482821077,0,0,0,0,2.44838389012265,2.44838389012265
