"region","sector","impact","total_value","output","unit","value"
"RoW","Waste water","Extraction",46.167355404,51600,"ton per million USD output",1117.67285668543
"RoW","Waste water","Land",16.985684384,51600,"ha per million USD output",3037.85227803983
"RoW","Waste water","Water",1.45350014,51600,"ton per million USD output",35500.51257649
"RoW","Water","Emissions",1385128972557.6,51264,"ton GHG per million USD output",3.70102719787476e-08
"RoW","Water","Extraction",4699.8318247681,51264,"ton per million USD output",10.9076243387772
"RoW","Water","Land",2429.440958239,51264,"ha per million USD output",21.1011507919744
"RoW","Water","Water",22.229995496,51264,"ton per million USD output",2306.07334172534
"Total","Total","Emissions",4.00226e+13,1188,"ton GHG per million USD output",2.96832289756288e-11
"Total","Total","Extraction",112667286.3639,1188,"ton per million USD output",1.05443207016003e-05
"Total","Total","Land",60447841.73,1188,"ha per million USD output",1.96533071487712e-05
"Total","Total","Water",8447877.325,1188,"ton per million USD output",0.000140627042071779
