"input_region","input_sector","input_num","output_region","output_sector","value","output_num","input_label","output_label"
"EU","Agriculture",1,"RoW","Biogas.&.Composting",1.53188323592616e-06,51,"Agriculture","Biogas, Composting"
"EU","Agriculture",1,"RoW","Waste.water",2.64396495937511e-06,52,"Agriculture","Waste Water"
"EU","Agriculture",1,"RoW","Landfill.of.Waste",0.000337233127672739,53,"Agriculture","Waste Landfill"
"EU","Agriculture",1,"RoW","Other.Services",0.000177567647613639,54,"Agriculture","Other Services"
"EU","Animal Farming",2,"EU","Agriculture",9.82982932234638e-05,1,"Animal Farming","Agriculture"
"EU","Animal Farming",2,"EU","Animal.Farming",0.00860075746504141,2,"Animal Farming","Animal Farming"
"EU","Animal Farming",2,"EU","Forestry,.logging.and.related.service.activities.(02)",0.000155118013840827,3,"Animal Farming","Forestry, Logging"
"EU","Animal Farming",2,"EU","Fishing,.operating.of.fish.hatcheries.and.fish.farms;.service.activities.incidental.to.fishing.(05)",0.000159226933775357,4,"Animal Farming","Fishing"
"EU","Animal Farming",2,"EU","Extraction.of.Fossil-Fuels",0.00021091682866112,5,"Animal Farming","Fossil-Fuel Extraction"
"EU","Animal Farming",2,"EU","Mining.&.Quarrying.of.raw.materials",0.000106366449649648,6,"Animal Farming","Mining"
"EU","Animal Farming",2,"EU","Processing.of.meat",0.221502980308146,7,"Animal Farming","Meat"
"EU","Animal Farming",2,"EU","Processing.of.other.food&beverage",0.0592579219909506,8,"Animal Farming","Other Food"
"EU","Animal Farming",2,"EU","Manufacture.of.tobacco.products.(16)",0.00200700492651488,9,"Animal Farming","Tobacco"
"EU","Animal Farming",2,"EU","Manufacture.of.textiles",0.00136334853878945,10,"Animal Farming","Textiles"
"EU","Animal Farming",2,"EU","Manufacture.of.wood.and.of.products.of.wood.and.cork,.except.furniture;.manufacture.of.articles.of.straw.and.plaiting.materials.(20)",0.000126130401465376,11,"Animal Farming","Wood"
"EU","Animal Farming",2,"EU","Re-processing.of.secondary.wood.material.into.new.wood.material",0.000103700540686311,12,"Animal Farming","Wood Re-processing"
"EU","Animal Farming",2,"EU","Pulp",9.46115809674149e-05,13,"Animal Farming","Pulp"
"EU","Animal Farming",2,"EU","Re-processing.of.secondary.paper.into.new.pulp",0.000129757772163404,14,"Animal Farming","Pulp Re-processing"
"EU","Animal Farming",2,"EU","Paper",8.44571072879425e-05,15,"Animal Farming","Paper"
"EU","Animal Farming",2,"EU","Processing.of.Fossil.Fuels",5.28358732401744e-05,16,"Animal Farming","Fossil-Fuel Processing"
"EU","Animal Farming",2,"EU","Plastics,.basic",0.000136960926569262,17,"Animal Farming","Plastics"
"EU","Animal Farming",2,"EU","Re-processing.of.secondary.plastic.into.new.plastic",0.000217099491346341,18,"Animal Farming","Plastics Re-processing"
"EU","Animal Farming",2,"EU","Manufacture.of.Chemicals",0.000124412172763185,19,"Animal Farming","Chemicals"
"EU","Animal Farming",2,"EU","Manufacture.of.rubber.and.plastic.products.(25)",5.16705771077247e-05,20,"Animal Farming","Rubber, Plastic Products"
