"row","col"
"EU.Manufacture of durable goods","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Manufacture of furniture; manufacturing n.e.c. (36)","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Recycling","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Production of electricity by fossil fuels","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Production of electricity by renewable energy","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Transmission & Distribution","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Manufacture of gas; distribution of gaseous fuels through mains","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Water","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Construction (45)","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
"EU.Re-processing of secondary construction material into aggregates","EU.Manufacture.of.furniture;.manufacturing.n.e.c..(36)"
