,,,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Sector,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,Consumption category,,,,
,,,Agriculture,Animal Farming,"Forestry, logging and related service activities (02)","Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",Extraction of Fossil-Fuels,Mining & Quarrying of raw materials,Processing of meat,Processing of other food&beverage,Manufacture of tobacco products (16),Manufacture of textiles,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",Re-processing of secondary wood material into new wood material,Pulp,Re-processing of secondary paper into new pulp,Paper,Processing of Fossil Fuels,"Plastics, basic",Re-processing of secondary plastic into new plastic,Manufacture of Chemicals,Manufacture of rubber and plastic products (25),Manufacture of glass and glass products,Re-processing of secondary glass into new glass,Manufacture of other non-metallic mineral products,"Manufacture of cement, lime and plaster",Re-processing of ash into clinker,Manufacture of Metals,Re-processing of Metals,Manufacture of durable goods,Manufacture of furniture; manufacturing n.e.c. (36),Recycling,Production of electricity by fossil fuels,Production of electricity by renewable energy,Transmission & Distribution,Manufacture of gas; distribution of gaseous fuels through mains,Water,Construction (45),Re-processing of secondary construction material into aggregates,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",Retail sale of automotive fuel,Retail & Wholesale trade,Leisure Services,Transport,KIBS,Real estate activities (70),Renting of machinery and equipment without operator and of personal and household goods (71),Research and development (73),Public administration and defence; compulsory social security (75),Education (80),Health and social work (85),Incineration of Waste,Biogas & Composting,Waste water,Landfill of Waste,Other Services,Agriculture,Animal Farming,"Forestry, logging and related service activities (02)","Fishing, operating of fish hatcheries and fish farms; service activities incidental to fishing (05)",Extraction of Fossil-Fuels,Mining & Quarrying of raw materials,Processing of meat,Processing of other food&beverage,Manufacture of tobacco products (16),Manufacture of textiles,"Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting materials (20)",Re-processing of secondary wood material into new wood material,Pulp,Re-processing of secondary paper into new pulp,Paper,Processing of Fossil Fuels,"Plastics, basic",Re-processing of secondary plastic into new plastic,Manufacture of Chemicals,Manufacture of rubber and plastic products (25),Manufacture of glass and glass products,Re-processing of secondary glass into new glass,Manufacture of other non-metallic mineral products,"Manufacture of cement, lime and plaster",Re-processing of ash into clinker,Manufacture of Metals,Re-processing of Metals,Manufacture of durable goods,Manufacture of furniture; manufacturing n.e.c. (36),Recycling,Production of electricity by fossil fuels,Production of electricity by renewable energy,Transmission & Distribution,Manufacture of gas; distribution of gaseous fuels through mains,Water,Construction (45),Re-processing of secondary construction material into aggregates,"Sale, maintenance, repair of motor vehicles, motor vehicles parts, motorcycles, motor cycles parts and accessoiries",Retail sale of automotive fuel,Retail & Wholesale trade,Leisure Services,Transport,KIBS,Real estate activities (70),Renting of machinery and equipment without operator and of personal and household goods (71),Research and development (73),Public administration and defence; compulsory social security (75),Education (80),Health and social work (85),Incineration of Waste,Biogas & Composting,Waste water,Landfill of Waste,Other Services,Consumption,Final consumption expenditure by government,GFCF,Exports: Total (fob),Consumption,Final consumption expenditure by government,GFCF,Exports: Total (fob),,,,
RoW,Sector,Pulp,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.002,0.001,0.027,0.000,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,,0.009,0.000,0.001,
RoW,Sector,Re-processing of secondary paper into new pulp,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.000,0.001,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,,0.002,0.000,0.000,
RoW,Sector,Paper,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.003,0.001,0.001,0.001,0.002,0.002,0.013,0.000,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.001,0.001,0.001,0.002,0.013,0.025,0.031,0.010,0.009,0.007,0.004,0.004,0.192,0.001,0.004,0.006,0.013,0.013,0.017,0.013,0.025,0.009,0.005,0.002,0.001,0.006,0.015,0.008,0.003,0.002,0.001,0.002,0.002,0.003,0.001,0.001,0.008,0.004,0.008,0.003,0.014,0.002,0.007,0.017,0.012,0.015,0.011,0.006,0.006,0.012,0.002,0.017,0.001,0.000,0.000,,0.011,0.001,0.002,,0.185,0.006,0.021,
RoW,Sector,Processing of Fossil Fuels,0.004,0.001,0.002,0.006,0.001,0.003,0.001,0.001,0.000,0.001,0.001,0.003,0.003,0.003,0.001,0.022,0.009,0.008,0.007,0.002,0.004,0.002,0.006,0.001,0.002,0.004,0.002,0.000,0.001,0.001,0.007,0.002,0.001,0.003,0.001,0.001,0.000,0.001,0.000,0.001,0.000,0.005,0.000,0.000,0.001,0.001,0.000,0.000,0.001,0.000,0.000,0.001,0.001,0.001,0.017,0.007,0.012,0.020,0.011,0.027,0.003,0.004,0.003,0.006,0.007,0.051,0.025,0.003,0.006,0.056,0.077,0.006,0.055,0.011,0.024,0.005,0.056,0.015,0.012,0.031,0.005,0.004,0.008,0.006,0.039,0.022,0.007,0.027,0.006,0.018,0.000,0.004,0.013,0.003,0.003,0.075,0.003,0.003,0.008,0.009,0.012,0.009,0.004,0.009,0.005,0.013,0.013,0.008,0.004,0.000,0.002,,0.020,0.000,0.003,,0.253,0.010,0.031,
RoW,Sector,"Plastics, basic",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.001,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.002,0.000,0.000,0.001,0.004,0.001,0.001,0.002,0.012,0.003,0.000,0.035,0.100,0.006,0.128,0.002,0.033,0.002,0.002,0.030,0.001,0.000,0.003,0.003,0.002,0.000,0.002,0.000,0.000,0.001,0.000,0.000,0.000,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.001,0.000,0.000,0.000,0.002,0.001,0.000,0.002,0.000,,0.000,0.001,0.001,,0.049,0.000,0.005,
RoW,Sector,Re-processing of secondary plastic into new plastic,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.003,0.019,0.000,0.001,0.000,0.006,0.000,0.000,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,,0.001,0.000,0.000,
RoW,Sector,Manufacture of Chemicals,0.026,0.003,0.004,0.021,0.001,0.012,0.005,0.007,0.004,0.019,0.014,0.023,0.034,0.054,0.006,0.010,0.070,0.125,0.063,0.021,0.017,0.024,0.024,0.005,0.006,0.008,0.015,0.003,0.006,0.010,0.005,0.005,0.003,0.003,0.010,0.001,0.000,0.002,0.000,0.001,0.001,0.000,0.001,0.000,0.001,0.012,0.001,0.001,0.017,0.004,0.002,0.009,0.006,0.004,0.050,0.008,0.013,0.005,0.006,0.015,0.004,0.011,0.015,0.063,0.021,0.026,0.053,0.065,0.037,0.015,0.307,0.120,0.278,0.098,0.051,0.028,0.053,0.014,0.006,0.008,0.025,0.011,0.021,0.020,0.007,0.005,0.002,0.007,0.011,0.006,0.000,0.001,0.003,0.001,0.002,0.002,0.002,0.002,0.002,0.021,0.005,0.003,0.088,0.013,0.005,0.025,0.004,0.017,0.001,0.003,0.000,,0.014,0.001,0.002,,0.398,0.007,0.041,
RoW,Sector,Manufacture of rubber and plastic products (25),0.001,0.001,0.000,0.001,0.001,0.001,0.002,0.002,0.001,0.002,0.001,0.002,0.002,0.004,0.001,0.000,0.003,0.002,0.005,0.013,0.003,0.003,0.001,0.002,0.001,0.001,0.000,0.003,0.003,0.001,0.000,0.000,0.000,0.001,0.000,0.003,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.000,0.000,0.005,0.001,0.002,0.004,0.004,0.010,0.013,0.020,0.004,0.012,0.008,0.009,0.003,0.008,0.022,0.001,0.005,0.008,0.026,0.142,0.018,0.011,0.005,0.010,0.005,0.003,0.003,0.029,0.051,0.004,0.001,0.000,0.001,0.005,0.006,0.020,0.002,0.003,0.002,0.001,0.002,0.004,0.002,0.003,0.003,0.009,0.003,0.001,0.008,0.016,0.003,0.003,0.002,0.007,0.001,0.000,0.000,,0.004,0.000,0.002,,0.200,0.002,0.019,
RoW,Sector,Manufacture of glass and glass products,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.002,0.001,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.004,0.001,0.007,0.000,0.001,0.003,0.002,0.001,0.000,0.000,0.000,0.001,0.001,0.004,0.004,0.224,0.000,0.003,0.001,0.000,0.000,0.000,0.005,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.012,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,,0.051,0.000,0.005,
RoW,Sector,Re-processing of secondary glass into new glass,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,,0.000,0.000,0.000,
RoW,Sector,Manufacture of other non-metallic mineral products,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.005,0.001,0.002,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.002,0.000,0.000,0.000,0.001,0.002,0.001,0.000,0.001,0.000,0.001,0.001,0.001,0.002,0.000,0.018,0.017,0.071,0.022,0.027,0.011,0.010,0.003,0.002,0.001,0.001,0.001,0.000,0.001,0.001,0.053,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.002,0.001,0.000,0.001,0.001,0.001,0.000,0.000,,0.001,0.000,0.001,,0.091,0.001,0.009,
RoW,Sector,"Manufacture of cement, lime and plaster",0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.001,0.014,0.060,0.096,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.030,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.001,0.001,0.000,0.001,0.000,0.000,0.000,,0.000,0.000,0.000,,0.045,0.000,0.004,
RoW,Sector,Re-processing of ash into clinker,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.022,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,,0.001,0.000,0.000,
RoW,Sector,Manufacture of Metals,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.001,0.000,0.000,0.001,0.002,0.003,0.002,0.001,0.001,0.002,0.002,0.002,0.067,0.062,0.010,0.007,0.009,0.001,0.000,0.000,0.000,0.001,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.002,0.000,0.013,0.010,0.001,0.003,0.003,0.001,0.005,0.003,0.003,0.001,0.004,0.001,0.003,0.002,0.008,0.008,0.008,0.004,0.024,0.026,0.018,0.300,0.299,0.104,0.052,0.020,0.002,0.002,0.001,0.003,0.003,0.054,0.000,0.001,0.002,0.001,0.000,0.001,0.001,0.001,0.001,0.003,0.001,0.000,0.001,0.001,0.006,0.001,0.002,0.001,0.000,0.000,0.001,,0.000,0.000,0.006,,0.478,0.001,0.043,
RoW,Sector,Re-processing of Metals,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.002,0.000,0.001,0.005,0.007,0.068,0.003,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,,0.012,0.000,0.001,
RoW,Sector,Manufacture of durable goods,0.007,0.004,0.004,0.010,0.010,0.009,0.002,0.003,0.002,0.002,0.005,0.005,0.006,0.008,0.003,0.002,0.004,0.004,0.007,0.005,0.007,0.009,0.005,0.004,0.004,0.009,0.007,0.046,0.010,0.004,0.005,0.004,0.004,0.009,0.009,0.012,0.001,0.007,0.003,0.001,0.002,0.004,0.004,0.001,0.007,0.008,0.007,0.001,0.007,0.005,0.005,0.004,0.004,0.002,0.011,0.004,0.014,0.024,0.038,0.054,0.012,0.019,0.016,0.014,0.031,0.025,0.023,0.029,0.027,0.008,0.010,0.013,0.030,0.033,0.048,0.041,0.049,0.032,0.027,0.038,0.034,0.311,0.058,0.053,0.061,0.043,0.010,0.037,0.023,0.098,0.001,0.022,0.015,0.009,0.009,0.027,0.018,0.006,0.033,0.029,0.037,0.011,0.028,0.052,0.052,0.045,0.032,0.034,0.010,0.001,0.057,,0.044,0.001,0.300,,1.105,0.088,0.176,
RoW,Sector,Manufacture of furniture; manufacturing n.e.c. (36),0.000,0.000,0.000,0.001,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.001,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.001,0.002,0.002,0.003,0.000,0.002,0.001,0.005,0.003,0.003,0.003,0.003,0.014,0.000,0.001,0.002,0.005,0.004,0.005,0.003,0.022,0.001,0.002,0.017,0.000,0.007,0.116,0.001,0.001,0.001,0.000,0.001,0.001,0.004,0.000,0.000,0.001,0.001,0.002,0.001,0.001,0.001,0.002,0.005,0.002,0.005,0.003,0.005,0.002,0.006,0.002,0.008,0.002,0.000,0.002,,0.011,0.000,0.014,,0.081,0.009,0.015,
RoW,Sector,Recycling,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.001,0.001,0.001,0.001,0.002,0.000,0.000,0.000,0.002,0.000,0.000,0.002,0.007,0.003,0.000,0.000,0.000,0.001,0.005,0.005,0.001,0.001,0.000,0.000,0.006,0.011,0.001,0.000,0.090,0.008,0.006,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,,0.000,0.000,0.000,,0.014,0.000,0.001,
RoW,Sector,Production of electricity by fossil fuels,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.005,0.005,0.002,0.001,0.012,0.029,0.004,0.008,0.003,0.008,0.008,0.008,0.039,0.036,0.012,0.007,0.011,0.011,0.015,0.019,0.019,0.026,0.031,0.034,0.016,0.019,0.039,0.008,0.007,0.016,0.017,0.002,0.182,0.037,0.030,0.003,0.007,0.002,0.006,0.002,0.004,0.004,0.002,0.005,0.002,0.009,0.004,0.007,0.005,0.024,0.004,0.003,0.010,0.004,0.000,0.000,0.000,,0.009,0.001,0.000,,0.141,0.004,0.016,
RoW,Sector,Production of electricity by renewable energy,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.004,0.007,0.001,0.001,0.001,0.002,0.002,0.005,0.011,0.005,0.003,0.001,0.001,0.002,0.003,0.004,0.004,0.006,0.006,0.006,0.004,0.004,0.014,0.001,0.002,0.004,0.001,0.000,0.037,0.004,0.011,0.001,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.003,0.002,0.005,0.003,0.001,0.000,0.000,0.000,,0.001,0.000,0.000,,0.029,0.001,0.003,
RoW,Sector,Transmission & Distribution,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.002,0.001,0.001,0.005,0.013,0.002,0.003,0.001,0.003,0.003,0.004,0.014,0.013,0.004,0.003,0.003,0.002,0.006,0.008,0.008,0.004,0.014,0.014,0.003,0.008,0.015,0.003,0.003,0.007,0.002,0.000,0.242,0.016,0.039,0.002,0.001,0.002,0.006,0.002,0.004,0.003,0.002,0.005,0.002,0.006,0.005,0.007,0.005,0.019,0.005,0.006,0.010,0.004,0.000,0.000,0.000,,0.007,0.001,0.001,,0.100,0.004,0.012,
RoW,Sector,Manufacture of gas; distribution of gaseous fuels through mains,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.003,0.003,0.001,0.002,0.001,0.001,0.001,0.002,0.005,0.012,0.001,0.001,0.001,0.000,0.002,0.003,0.004,0.013,0.002,0.006,0.007,0.002,0.008,0.001,0.001,0.002,0.021,0.012,0.012,0.061,0.017,0.000,0.003,0.000,0.001,0.000,0.001,0.000,0.000,0.001,0.001,0.002,0.001,0.002,0.002,0.002,0.001,0.001,0.000,0.002,0.000,0.000,0.000,,0.004,0.000,0.000,,0.028,0.002,0.004,
RoW,Sector,Water,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.000,0.000,0.002,0.004,0.001,0.000,0.001,0.002,0.002,0.001,0.001,0.001,0.001,0.001,0.002,0.001,0.001,0.000,0.001,0.002,0.004,0.015,0.006,0.004,0.066,0.001,0.000,0.000,0.001,0.000,0.001,0.001,0.000,0.001,0.000,0.002,0.001,0.003,0.002,0.006,0.002,0.001,0.002,0.003,0.000,0.000,0.000,,0.004,0.001,0.000,,0.020,0.002,0.003,
RoW,Sector,Construction (45),0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.001,0.001,0.000,0.004,0.002,0.002,0.001,0.009,0.009,0.002,0.002,0.002,0.002,0.003,0.003,0.004,0.008,0.003,0.002,0.003,0.003,0.002,0.002,0.003,0.003,0.007,0.004,0.006,0.002,0.001,0.002,0.002,0.002,0.015,0.017,0.024,0.009,0.045,0.050,0.002,0.001,0.004,0.003,0.003,0.006,0.004,0.044,0.003,0.011,0.017,0.010,0.009,0.025,0.011,0.035,0.018,0.006,0.000,0.000,0.003,,0.002,0.001,0.447,,0.180,0.097,0.104,
